"ISO3","YEAR","u5_frac"
"ABW",2010,0.0573738463808402
"ABW",2015,0.0549656141439824
"ABW",2020,0.0585792837704131
"ABW",2025,0.0551804398005903
"ABW",2030,0.0513786167156345
"AFG",2010,0.176557156296401
"AFG",2015,0.175535465205589
"AFG",2020,0.17047941154635
"AFG",2025,0.164605200803353
"AFG",2030,0.156909868608421
"AGO",2010,0.177004065420698
"AGO",2015,0.168375542246779
"AGO",2020,0.160265865172154
"AGO",2025,0.148340818032908
"AGO",2030,0.135301672852268
"ALB",2010,0.064813543368815
"ALB",2015,0.0574062723538987
"ALB",2020,0.0561147162474579
"ALB",2025,0.0535934051985475
"ALB",2030,0.0499780395098168
"ARE",2010,0.0559967197794372
"ARE",2015,0.0557888288799233
"ARE",2020,0.0517361292367846
"ARE",2025,0.0435762463442333
"ARE",2030,0.0388977432932202
"ARG",2010,0.0837820325140002
"ARG",2015,0.0798404961871387
"ARG",2020,0.075884578136196
"ARG",2025,0.0715117164995493
"ARG",2030,0.0677964211416704
"ARM",2010,0.0732117492736262
"ARM",2015,0.0657001210389695
"ARM",2020,0.0597629517826913
"ARM",2025,0.0541658617831685
"ARM",2030,0.0517464097936521
"AUS",2010,0.0654527513087614
"AUS",2015,0.0639171472609024
"AUS",2020,0.0634532909008106
"AUS",2025,0.0599137130948546
"AUS",2030,0.0553767214264779
"AUT",2010,0.0460385264334821
"AUT",2015,0.0457273130080674
"AUT",2020,0.0450807767405942
"AUT",2025,0.0437051311978131
"AUT",2030,0.0416040508926959
"AZE",2010,0.086545687898811
"AZE",2015,0.0809414745687659
"AZE",2020,0.0710489452129871
"AZE",2025,0.0579402165176382
"AZE",2030,0.0514585595399716
"BDI",2010,0.141326348193727
"BDI",2015,0.141547396112965
"BDI",2020,0.131921437817927
"BDI",2025,0.115052246959676
"BDI",2030,0.102250851162741
"BEL",2010,0.0575294252294562
"BEL",2015,0.0560243319584838
"BEL",2020,0.054232238048345
"BEL",2025,0.0521920800588721
"BEL",2030,0.0503854231625545
"BEN",2010,0.170217670452928
"BEN",2015,0.157883241791031
"BEN",2020,0.14744727338197
"BEN",2025,0.135470293869073
"BEN",2030,0.123089342670351
"BFA",2010,0.179440119003827
"BFA",2015,0.169952640788262
"BFA",2020,0.160439445613875
"BFA",2025,0.152133826846009
"BFA",2030,0.143168561986187
"BGD",2010,0.0989113068801199
"BGD",2015,0.093809383321361
"BGD",2020,0.0878354705929439
"BGD",2025,0.081403882733494
"BGD",2030,0.0740355731765772
"BGR",2010,0.0497836231434636
"BGR",2015,0.0481046756974668
"BGR",2020,0.0449879144346871
"BGR",2025,0.0424695991663299
"BGR",2030,0.0412261201856011
"BHR",2010,0.0737069426668304
"BHR",2015,0.0821813631236741
"BHR",2020,0.0754093693794375
"BHR",2025,0.0638068274820352
"BHR",2030,0.0574355739866286
"BHS",2010,0.0743911081816512
"BHS",2015,0.0695988794858155
"BHS",2020,0.0656498712764049
"BHS",2025,0.0620268237164889
"BHS",2030,0.0584651801936145
"BIH",2010,0.0438700700412948
"BIH",2015,0.0462918223854257
"BIH",2020,0.0439045635654464
"BIH",2025,0.0416365381820433
"BIH",2030,0.0392705842805225
"BLR",2010,0.0536710166234498
"BLR",2015,0.056131472411879
"BLR",2020,0.0515927123652022
"BLR",2025,0.0461728586458455
"BLR",2030,0.0420915199681826
"BLZ",2010,0.117444894056035
"BLZ",2015,0.109537024924671
"BLZ",2020,0.101523371761335
"BLZ",2025,0.0923495764307869
"BLZ",2030,0.0852094472089237
"BOL",2010,0.124364630318145
"BOL",2015,0.113910800443398
"BOL",2020,0.108203389599113
"BOL",2025,0.102621503933483
"BOL",2030,0.0964045933225406
"BRA",2010,0.0777467219591101
"BRA",2015,0.0728192709836108
"BRA",2020,0.0694305387663063
"BRA",2025,0.0651606210042078
"BRA",2030,0.0600114606047519
"BRB",2010,0.0532760645517706
"BRB",2015,0.0488247304187392
"BRB",2020,0.0471122945445376
"BRB",2025,0.044176047648341
"BRB",2030,0.0414984178426788
"BRN",2010,0.0937155319362279
"BRN",2015,0.0820931880379626
"BRN",2020,0.0703153276931234
"BRN",2025,0.0633030209947126
"BRN",2030,0.0595214338836765
"BTN",2010,0.0976540760944431
"BTN",2015,0.0948412026667132
"BTN",2020,0.0892311118381663
"BTN",2025,0.0816857551966722
"BTN",2030,0.0744993617971828
"BWA",2010,0.112170487980488
"BWA",2015,0.104324549940281
"BWA",2020,0.0975797231894492
"BWA",2025,0.0905949155799229
"BWA",2030,0.0851997886560705
"CAF",2010,0.147969655430032
"CAF",2015,0.139695655662945
"CAF",2020,0.131286895171141
"CAF",2025,0.121563289826128
"CAF",2030,0.112915612116684
"CAN",2010,0.0554007863162545
"CAN",2015,0.0551214899737731
"CAN",2020,0.0558071337832024
"CAN",2025,0.054241618349078
"CAN",2030,0.0508671315896662
"CHE",2010,0.0490882554716545
"CHE",2015,0.0483558757768073
"CHE",2020,0.0478382512672919
"CHE",2025,0.0477529197182814
"CHE",2030,0.0469057296199746
"CHL",2010,0.0712550678731552
"CHL",2015,0.0666239778824436
"CHL",2020,0.0631521002203819
"CHL",2025,0.0593467439450548
"CHL",2030,0.0550258999894944
"CHN",2010,0.0608316235344587
"CHN",2015,0.052181819583348
"CHN",2020,0.0491376831001372
"CHN",2025,0.0448946630018829
"CHN",2030,0.0413711003063525
"CIV",2010,0.150443565138972
"CIV",2015,0.13971602631953
"CIV",2020,0.129129350061426
"CIV",2025,0.118760143210395
"CIV",2030,0.111978835019457
"CMR",2010,0.155866079959941
