"ISO3","YEAR","GDLCODE","geo_area","fies","population","stunting","u5pop"
"AFG",2020,"AFGr107","Rural",1366020,2532171,272832,431683
"AFG",2020,"AFGr107","Urban",833227,1544540,166418,263312
"AFG",2020,"AFGr106","Rural",2328881,4085415,462058,696479
"AFG",2020,"AFGr106","Urban",520928,913832,103354,155790
"AFG",2020,"AFGr108","Rural",2749443,4686990,451901,799035
"AFG",2020,"AFGr108","Urban",359841,613423,59144,104576
"AFG",2020,"AFGr103","Rural",1286114,2322466,223313,395933
"AFG",2020,"AFGr103","Urban",363597,656584,63133,111934
"AFG",2020,"AFGr102","Rural",515388,884679,82361,150820
"AFG",2020,"AFGr102","Urban",436,748,70,128
"AFG",2020,"AFGr105","Rural",2883354,4912552,411116,837489
"AFG",2020,"AFGr105","Urban",320417,545915,45686,93067
"AFG",2020,"AFGr104","Rural",4111299,6948380,570310,1184556
"AFG",2020,"AFGr104","Urban",433975,733448,60200,125038
"AFG",2020,"AFGr101","Rural",1391970,2570777,245997,438265
"AFG",2020,"AFGr101","Urban",2777887,5130374,490923,874623
"AFG",2025,"AFGr107","Rural",1211072,2632093,232475,433256
"AFG",2025,"AFGr107","Urban",761795,1655653,146233,272529
"AFG",2025,"AFGr106","Rural",2120658,4518826,439983,743822
"AFG",2025,"AFGr106","Urban",476645,1015665,98892,167184
"AFG",2025,"AFGr108","Rural",2551442,5363308,426877,882828
"AFG",2025,"AFGr108","Urban",336263,706848,56259,116351
"AFG",2025,"AFGr103","Rural",955990,2045682,155935,336730
"AFG",2025,"AFGr103","Urban",402665,861646,65680,141831
"AFG",2025,"AFGr102","Rural",408754,857211,63594,141101
"AFG",2025,"AFGr102","Urban",339,710,53,117
"AFG",2025,"AFGr105","Rural",2143722,4568082,303244,751930
"AFG",2025,"AFGr105","Urban",592160,1261840,83765,207705
"AFG",2025,"AFGr104","Rural",4236479,8820133,564222,1451840
"AFG",2025,"AFGr104","Urban",485631,1011059,64677,166426
"AFG",2025,"AFGr101","Rural",1327582,2934509,217195,483035
"AFG",2025,"AFGr101","Urban",2927014,6469918,478865,1064982
"AFG",2030,"AFGr107","Rural",1144228,2725696,223103,427689
"AFG",2030,"AFGr107","Urban",737068,1755788,143714,275500
"AFG",2030,"AFGr106","Rural",2068235,4970465,467511,779915
"AFG",2030,"AFGr106","Urban",466599,1121350,105472,175951
"AFG",2030,"AFGr108","Rural",2676493,6103335,453049,957673
"AFG",2030,"AFGr108","Urban",354638,808697,60029,126893
"AFG",2030,"AFGr103","Rural",742447,1808807,124005,283820
"AFG",2030,"AFGr103","Urban",413746,1007999,69105,158165
"AFG",2030,"AFGr102","Rural",354940,825477,55349,129525
"AFG",2030,"AFGr102","Urban",289,672,45,105
"AFG",2030,"AFGr105","Rural",1792457,4279641,255823,671518
"AFG",2030,"AFGr105","Urban",799331,1908469,114082,299458
"AFG",2030,"AFGr104","Rural",4685350,11105369,629610,1742542
"AFG",2030,"AFGr104","Urban",570652,1352578,76683,212233
"AFG",2030,"AFGr101","Rural",1311323,3359493,218540,527138
"AFG",2030,"AFGr101","Urban",3139084,8042056,523147,1261878
"AGO",2020,"AGOr214","Rural",233769,350201,26949,56125
"AGO",2020,"AGOr214","Urban",7278,10903,839,1747
"AGO",2020,"AGOr213","Rural",476076,706695,56793,113259
"AGO",2020,"AGOr213","Urban",15963,23695,1904,3797
"AGO",2020,"AGOr216","Rural",946831,1400876,110115,224513
"AGO",2020,"AGOr216","Urban",0,0,0,0
"AGO",2020,"AGOr215","Rural",1804288,2738879,236439,438949
"AGO",2020,"AGOr215","Urban",63589,96527,8333,15470
"AGO",2020,"AGOr210","Rural",820,1673,156,268
"AGO",2020,"AGOr210","Urban",1009913,2060928,192107,330296
"AGO",2020,"AGOr212","Rural",491005,727881,64079,116654
"AGO",2020,"AGOr212","Urban",8336,12357,1088,1980
"AGO",2020,"AGOr211","Rural",14261,29441,2757,4718
"AGO",2020,"AGOr211","Urban",720803,1488018,139344,238478
"AGO",2020,"AGOr218","Rural",65879,117561,7858,18841
"AGO",2020,"AGOr218","Urban",106000,189155,12643,30315
"AGO",2020,"AGOr217","Rural",339210,502543,46259,80540
"AGO",2020,"AGOr217","Urban",3585,5311,489,851
"AGO",2020,"AGOr203","Rural",21421,42000,3611,6731
"AGO",2020,"AGOr203","Urban",844403,1655603,142362,265337
"AGO",2020,"AGOr202","Rural",430773,650688,43915,104283
"AGO",2020,"AGOr202","Urban",23773,35910,2424,5755
"AGO",2020,"AGOr205","Rural",4145,8488,804,1360
"AGO",2020,"AGOr205","Urban",192634,394505,37389,63226
"AGO",2020,"AGOr204","Rural",758,1305,73,209
"AGO",2020,"AGOr204","Urban",6731201,11586546,651757,1856928
"AGO",2020,"AGOr201","Rural",6172,11919,820,1910
"AGO",2020,"AGOr201","Urban",415818,803002,55227,128694
"AGO",2020,"AGOr207","Rural",863238,1270940,107526,203688
"AGO",2020,"AGOr207","Urban",19082,28095,2377,4503
"AGO",2020,"AGOr206","Rural",705907,1282093,120843,205476
"AGO",2020,"AGOr206","Urban",836569,1519407,143211,243509
"AGO",2020,"AGOr209","Rural",24382,49733,4060,7971
"AGO",2020,"AGOr209","Urban",1201322,2450380,200059,392712
"AGO",2020,"AGOr208","Rural",616038,913870,83549,146462
"AGO",2020,"AGOr208","Urban",0,0,0,0
"AGO",2025,"AGOr214","Rural",184712,278114,15764,41256
"AGO",2025,"AGOr214","Urban",7049,10613,602,1574
"AGO",2025,"AGOr213","Rural",963639,1424411,77835,211298
"AGO",2025,"AGOr213","Urban",33525,49556,2708,7351
"AGO",2025,"AGOr216","Rural",1421597,2075860,113191,307935
"AGO",2025,"AGOr216","Urban",0,0,0,0
"AGO",2025,"AGOr215","Rural",1582359,2452144,141289,363753
"AGO",2025,"AGOr215","Urban",381251,590816,34042,87642
"AGO",2025,"AGOr210","Rural",328,641,42,95
