"GDLCODE","2025.fies.urb","2025.fies.rur","2030.fies.urb","2030.fies.rur","2020.pop.urb","2020.pop.rur","2025.pop.urb","2025.pop.rur","2030.pop.urb","2030.pop.rur","2020.stunt","2025.stunt","2030.stunt"
"AFGr101",0.257247894536704,0.00806657853536308,0.573557493509725,0.837154525797814,100054,100446,99502,100698,100506,100022,0.117441965267062,0.513355490518734,0.329323082230985
"AFGr102",0.420700580812991,0.361071902792901,0.868808247847483,0.906438810518011,99835,100567,99537,99875,99729,100141,0.87699908670038,0.588847866281867,0.117665363010019
"AFGr103",0.245686998125166,0.519698076648638,0.995437630452216,0.307698424207047,100231,100125,99810,99529,100074,99581,0.8831542362459,0.970650566974655,0.247727513778955
"AFGr104",0.0909658810123801,0.530716325156391,0.515575360972434,0.501987778116018,100211,99732,100430,99893,100340,99958,0.323672623140737,0.848257128382102,0.180799870286137
"AFGr105",0.384206477086991,0.669785565463826,0.506889697164297,0.612465637270361,99882,99777,99742,100452,100883,100133,0.939709968399256,0.893540457123891,0.268130552722141
"AFGr106",0.469741706037894,0.164452604716644,0.0921971402131021,0.715505828615278,99919,99979,100097,99667,99570,99539,0.850469555007294,0.163471576524898,0.216631902381778
"AFGr107",0.824489200254902,0.694712771335617,0.927273954730481,0.455119559541345,99474,99717,100312,100280,100011,100265,0.29128423309885,0.97375268349424,0.326668963069096
"AFGr108",0.826138143660501,0.0629774406552315,0.463226173538715,0.615461240289733,99966,100030,99673,100011,100132,99705,0.353861528448761,0.953752357512712,0.811781744472682
"AGOr201",0.845480987103656,0.532764303032309,0.566936803748831,0.163992746733129,99703,100591,99863,100630,99925,100497,0.182555005187169,0.516027581179515,0.655047796200961
"AGOr202",0.36836111289449,0.998058489290997,0.44148296979256,0.232067128876224,100057,99741,99851,100373,99771,100138,0.731076638912782,0.316213486017659,0.0243466363754123
"AGOr203",0.00473086396232247,0.270561712095514,0.113744053756818,0.0215291283093393,100245,100375,99645,100128,99698,99619,0.734743960667402,0.826968570239842,0.987580598331988
"AGOr204",0.27439222112298,0.614820274757221,0.740449416218325,0.823817668482661,99851,99611,99816,99992,100155,99622,0.715298447059467,0.581402031239122,0.859916231129318
"AGOr205",0.898518167901784,0.635915513616055,0.535848512081429,0.133081345353276,99749,100229,100293,99724,99856,100541,0.444061766145751,0.195969581836835,0.148350801551715
"AGOr206",0.029131525894627,0.99337876169011,0.881042800378054,0.677131582750008,99838,99530,100274,99849,99640,99774,0.44706724700518,0.451147183310241,0.583043520106003
"AGOr207",0.819355535320938,0.956058573210612,0.0235660029575229,0.260160536738113,100065,99889,99834,99739,99872,100145,0.971137444255874,0.218828684417531,0.926429592771456
"AGOr208",0.0202384118456393,0.500574864214286,0.461461509810761,0.195715005742386,100529,100302,100122,99684,100027,99395,0.251139773288742,0.957600813824683,0.951097453711554
"AGOr209",0.960603437153623,0.221531494753435,0.0453750588931143,0.0637863234151155,100197,99987,100034,99844,99808,99867,0.216033646836877,0.908580370480195,0.0196198134217411
"AGOr210",0.557387411827222,0.998559061437845,0.496774003840983,0.586864572716877,99958,99878,100285,100017,100275,100773,0.261276595527306,0.019619083032012,0.3068727706559
"AGOr211",0.2221527651418,0.919238581089303,0.00512971496209502,0.0239426556508988,100191,100025,100506,99320,99693,100024,0.765424208017066,0.623373732203618,0.954564915504307
"AGOr212",0.357443725690246,0.0413111678790301,0.143172561423853,0.692227428546175,100596,99954,99434,99478,99490,99708,0.427956610918045,0.502823231043294,0.760389416012913
"AGOr213",0.566920498618856,0.103192596929148,0.960216026520357,0.776588438544422,99872,99976,100008,100105,99881,99877,0.530635504750535,0.235856669489294,0.941534765297547
"AGOr214",0.228116842918098,0.971197786275297,0.0519172137137502,0.141727099893615,99758,99481,99922,99912,99819,99870,0.131554773077369,0.0977373810019344,0.0439658800605685
