"ISO3","YEAR","GDLCODE","GEO_AREA","fies","population","stunting","u5pop"
"AFG",2020,"AFGr101","rural",1180455,2678270,1140964,2310626
"AFG",2020,"AFGr101","urban",2355775,5344891,2276965,4611203
"AFG",2020,"AFGr102","rural",481524,921671,3319333,6915984
"AFG",2020,"AFGr102","urban",407,779,2806,5845
"AFG",2020,"AFGr103","rural",1369696,2419576,2675542,5396255
"AFG",2020,"AFGr103","urban",387227,684038,756402,1525574
"AFG",2020,"AFGr104","rural",3604724,7238913,2651532,6260944
"AFG",2020,"AFGr104","urban",380503,764116,279887,660885
"AFG",2020,"AFGr105","rural",2617080,5117961,2688238,6229559
"AFG",2020,"AFGr105","urban",290827,568742,298735,692270
"AFG",2020,"AFGr106","rural",2440836,4256239,3290002,5656560
"AFG",2020,"AFGr106","urban",545971,952043,735913,1265269
"AFG",2020,"AFGr107","rural",1370553,2638049,2386203,4299362
"AFG",2020,"AFGr107","urban",835992,1609122,1455504,2622467
"AFG",2020,"AFGr108","rural",2674899,4882968,3039111,6120758
"AFG",2020,"AFGr108","urban",350085,639072,397752,801071
"AFG",2025,"AFGr101","rural",1256543,3057209,1089515,2359718
"AFG",2025,"AFGr101","urban",2770390,6740446,2402132,5202637
"AFG",2025,"AFGr102","rural",443596,893053,3465921,7556093
"AFG",2025,"AFGr102","urban",368,740,2872,6261
"AFG",2025,"AFGr103","rural",1153382,2131219,2511871,5321097
"AFG",2025,"AFGr103","urban",485807,897674,1058006,2241257
"AFG",2025,"AFGr104","rural",4118592,9188930,2701188,6784627
"AFG",2025,"AFGr104","urban",472118,1053335,309640,777728
"AFG",2025,"AFGr105","rural",2303788,4759087,2435342,5925543
"AFG",2025,"AFGr105","urban",636375,1314602,672714,1636812
"AFG",2025,"AFGr106","rural",2534850,4707773,3635612,6174545
"AFG",2025,"AFGr106","urban",569740,1058133,817151,1387809
"AFG",2025,"AFGr107","rural",1376976,2742149,2514575,4642257
"AFG",2025,"AFGr107","urban",866152,1724881,1581731,2920097
"AFG",2025,"AFGr108","rural",2907917,5587565,3254685,6681746
"AFG",2025,"AFGr108","urban",383244,736403,428945,880609
"AFG",2030,"AFGr101","rural",1322763,3499965,1027501,2389799
"AFG",2030,"AFGr101","urban",3166469,8378319,2459662,5720771
"AFG",2030,"AFGr102","rural",401432,859993,3546160,8103974
"AFG",2030,"AFGr102","urban",327,700,2886,6596
"AFG",2030,"AFGr103","rural",965467,1884439,2335503,5208188
"AFG",2030,"AFGr103","urban",538029,1050147,1301513,2902383
"AFG",2030,"AFGr104","rural",4604359,11569719,2698953,7229994
"AFG",2030,"AFGr104","urban",560788,1409134,328719,880577
"AFG",2030,"AFGr105","rural",2022270,4458586,2191835,5609197
"AFG",2030,"AFGr105","urban",901814,1988268,977430,2501373
"AFG",2030,"AFGr106","rural",2582648,5178296,3943764,6617619
"AFG",2030,"AFGr106","urban",582652,1168237,889723,1492952
"AFG",2030,"AFGr107","rural",1365541,2839666,2605922,4932953
"AFG",2030,"AFGr107","urban",879628,1829203,1678634,3177618
"AFG",2030,"AFGr108","rural",3107352,6358535,3421018,7161647
"AFG",2030,"AFGr108","urban",411727,842511,453288,948924
"AGO",2020,"AGOr201","rural",4600,9210,22377,59157
"AGO",2020,"AGOr201","urban",309957,620540,1507678,3985818
"AGO",2020,"AGOr202","rural",280756,502835,1421884,3833413
"AGO",2020,"AGOr202","urban",15495,27751,78472,211563
"AGO",2020,"AGOr203","rural",20584,32457,47328,100077
"AGO",2020,"AGOr203","urban",811398,1279409,1865602,3944898
"AGO",2020,"AGOr204","rural",442,1008,141,455
"AGO",2020,"AGOr204","urban",3924909,8953796,1249956,4044520
"AGO",2020,"AGOr205","rural",3893,6559,44340,85193
"AGO",2020,"AGOr205","urban",180934,304864,2060941,3959783
"AGO",2020,"AGOr206","rural",617727,990770,958031,1851164
"AGO",2020,"AGOr206","urban",732067,1174160,1135361,2193812
"AGO",2020,"AGOr207","rural",556713,982151,1838304,3957493
"AGO",2020,"AGOr207","urban",12306,21711,40637,87483
"AGO",2020,"AGOr208","rural",428327,706216,2028331,4044976
"AGO",2020,"AGOr208","urban",0,0,0,0
"AGO",2020,"AGOr209","rural",22626,38433,36072,80465
"AGO",2020,"AGOr209","urban",1114758,1893593,1777253,3964511
"AGO",2020,"AGOr210","rural",756,1293,1682,3281
"AGO",2020,"AGOr210","urban",930933,1592634,2071781,4041694
"AGO",2020,"AGOr211","rural",13514,22752,40366,78481
"AGO",2020,"AGOr211","urban",682990,1149903,2040147,3966494
"AGO",2020,"AGOr212","rural",317353,562489,1922147,3977453
"AGO",2020,"AGOr212","urban",5387,9549,32631,67523
"AGO",2020,"AGOr213","rural",304861,546116,1731201,3913749
