"ISO3","YEAR","GDLCODE","GEO_AREA","fies","population","stunting","u5pop"
"AFG",2020,"AFGr107","rural",1382552,2532171,238047,431683
"AFG",2020,"AFGr107","urban",843311,1544540,145201,263312
"AFG",2020,"AFGr106","rural",2338397,4085415,406428,696479
"AFG",2020,"AFGr106","urban",523056,913832,90911,155790
"AFG",2020,"AFGr108","rural",2776213,4686990,394730,799035
"AFG",2020,"AFGr108","urban",363345,613423,51661,104576
"AFG",2020,"AFGr103","rural",1281605,2322466,193795,395933
"AFG",2020,"AFGr103","urban",362322,656584,54788,111934
"AFG",2020,"AFGr102","rural",528877,884679,71532,150820
"AFG",2020,"AFGr102","urban",447,748,60,128
"AFG",2020,"AFGr105","rural",2925772,4912552,356786,837489
"AFG",2020,"AFGr105","urban",325131,545915,39648,93067
"AFG",2020,"AFGr104","rural",4146511,6948380,493547,1184556
"AFG",2020,"AFGr104","urban",437692,733448,52097,125038
"AFG",2020,"AFGr101","rural",1385157,2570777,212655,438265
"AFG",2020,"AFGr101","urban",2764290,5130374,424385,874623
"AFG",2025,"AFGr107","rural",1200614,2632093,232475,433256
"AFG",2025,"AFGr107","urban",755217,1655653,146233,272529
"AFG",2025,"AFGr106","rural",2100187,4518826,439983,743822
"AFG",2025,"AFGr106","urban",472044,1015665,98892,167184
"AFG",2025,"AFGr108","rural",2535958,5363308,426877,882828
"AFG",2025,"AFGr108","urban",334222,706848,56259,116351
"AFG",2025,"AFGr103","rural",929969,2045682,155935,336730
"AFG",2025,"AFGr103","urban",391705,861646,65680,141831
"AFG",2025,"AFGr102","rural",407059,857211,63594,141101
"AFG",2025,"AFGr102","urban",337,710,53,117
"AFG",2025,"AFGr105","rural",2120068,4568082,303244,751930
"AFG",2025,"AFGr105","urban",585626,1261840,83765,207705
"AFG",2025,"AFGr104","rural",4195960,8820133,564222,1451840
"AFG",2025,"AFGr104","urban",480986,1011059,64677,166426
"AFG",2025,"AFGr101","rural",1296059,2934509,217195,483035
"AFG",2025,"AFGr101","urban",2857512,6469918,478865,1064982
"AFG",2030,"AFGr107","rural",1131708,2725696,223103,427689
"AFG",2030,"AFGr107","urban",729002,1755788,143714,275500
"AFG",2030,"AFGr106","rural",2013964,4970465,467511,779915
"AFG",2030,"AFGr106","urban",454356,1121350,105472,175951
"AFG",2030,"AFGr108","rural",2680308,6103335,453049,957673
"AFG",2030,"AFGr108","urban",355143,808697,60029,126893
"AFG",2030,"AFGr103","rural",740392,1808807,124005,283820
"AFG",2030,"AFGr103","urban",412601,1007999,69105,158165
"AFG",2030,"AFGr102","rural",354673,825477,55349,129525
"AFG",2030,"AFGr102","urban",289,672,45,105
"AFG",2030,"AFGr105","rural",1792833,4279641,255823,671518
"AFG",2030,"AFGr105","urban",799499,1908469,114082,299458
"AFG",2030,"AFGr104","rural",4703426,11105369,629610,1742542
"AFG",2030,"AFGr104","urban",572854,1352578,76683,212233
"AFG",2030,"AFGr101","rural",1317638,3359493,218540,527138
"AFG",2030,"AFGr101","urban",3154202,8042056,523147,1261878
"AGO",2020,"AGOr214","rural",233489,350201,23269,56125
"AGO",2020,"AGOr214","urban",7269,10903,724,1747
"AGO",2020,"AGOr213","rural",478740,706695,48439,113259
"AGO",2020,"AGOr213","urban",16052,23695,1624,3797
"AGO",2020,"AGOr216","rural",950330,1400876,94199,224513
"AGO",2020,"AGOr216","urban",0,0,0,0
"AGO",2020,"AGOr215","rural",1795857,2738879,201144,438949
"AGO",2020,"AGOr215","urban",63292,96527,7089,15470
"AGO",2020,"AGOr210","rural",823,1673,134,268
"AGO",2020,"AGOr210","urban",1014144,2060928,164570,330296
"AGO",2020,"AGOr212","rural",495274,727881,55389,116654
"AGO",2020,"AGOr212","urban",8408,12357,940,1980
"AGO",2020,"AGOr211","rural",14310,29441,2376,4718
"AGO",2020,"AGOr211","urban",723273,1488018,120099,238478
"AGO",2020,"AGOr218","rural",69898,117561,6797,18841
"AGO",2020,"AGOr218","urban",112466,189155,10936,30315
"AGO",2020,"AGOr217","rural",346397,502543,40244,80540
"AGO",2020,"AGOr217","urban",3661,5311,425,851
"AGO",2020,"AGOr203","rural",21494,42000,3092,6731
"AGO",2020,"AGOr203","urban",847283,1655603,121884,265337
"AGO",2020,"AGOr202","rural",431888,650688,37736,104283
"AGO",2020,"AGOr202","urban",23835,35910,2083,5755
"AGO",2020,"AGOr205","rural",4297,8488,694,1360
"AGO",2020,"AGOr205","urban",199698,394505,32252,63226
"AGO",2020,"AGOr204","rural",826,1305,63,209
"AGO",2020,"AGOr204","urban",7333300,11586546,561016,1856928
"AGO",2020,"AGOr201","rural",6699,11919,705,1910
"AGO",2020,"AGOr201","urban",451312,803002,47488,128694
"AGO",2020,"AGOr207","rural",865983,1270940,92853,203688
"AGO",2020,"AGOr207","urban",19143,28095,2053,4503
"AGO",2020,"AGOr206","rural",724071,1282093,104352,205476
"AGO",2020,"AGOr206","urban",858095,1519407,123668,243509
"AGO",2020,"AGOr209","rural",24987,49733,3504,7971
"AGO",2020,"AGOr209","urban",1231104,2450380,172633,392712
"AGO",2020,"AGOr208","rural",633513,913870,72517,146462
"AGO",2020,"AGOr208","urban",0,0,0,0
"AGO",2025,"AGOr214","rural",185316,278114,15764,41256
"AGO",2025,"AGOr214","urban",7072,10613,602,1574
"AGO",2025,"AGOr213","rural",956859,1424411,77835,211298
"AGO",2025,"AGOr213","urban",33290,49556,2708,7351
"AGO",2025,"AGOr216","rural",1410829,2075860,113191,307935
"AGO",2025,"AGOr216","urban",0,0,0,0
"AGO",2025,"AGOr215","rural",1569865,2452144,141289,363753
"AGO",2025,"AGOr215","urban",378241,590816,34042,87642
"AGO",2025,"AGOr210","rural",331,641,42,95
"AGO",2025,"AGOr210","urban",925059,1789341,116481,265432
"AGO",2025,"AGOr212","rural",536387,787941,51414,116884
"AGO",2025,"AGOr212","urban",9141,13428,876,1992
"AGO",2025,"AGOr211","rural",13310,26461,1802,3925
"AGO",2025,"AGOr211","urban",770384,1531546,104275,227191
"AGO",2025,"AGOr218","rural",44831,71342,3553,10583
"AGO",2025,"AGOr218","urban",74575,118675,5910,17604
"AGO",2025,"AGOr217","rural",306338,443218,31490,65747
"AGO",2025,"AGOr217","urban",3494,5055,359,750
"AGO",2025,"AGOr203","rural",18532,33180,1987,4922
"AGO",2025,"AGOr203","urban",899647,1610771,96479,238943
"AGO",2025,"AGOr202","rural",535066,810158,39090,120180
"AGO",2025,"AGOr202","urban",34655,52472,2532,7784
"AGO",2025,"AGOr205","rural",3307,6037,418,896
"AGO",2025,"AGOr205","urban",179683,328058,22727,48664
"AGO",2025,"AGOr204","rural",1012,1528,62,227
"AGO",2025,"AGOr204","urban",9986890,15072958,613211,2235935
"AGO",2025,"AGOr201","rural",9627,16664,823,2472
"AGO",2025,"AGOr201","urban",709892,1228831,60664,182286
"AGO",2025,"AGOr207","rural",947530,1386186,86397,205628
"AGO",2025,"AGOr207","urban",24844,36345,2265,5391
"AGO",2025,"AGOr206","rural",648938,1153328,80020,171086
"AGO",2025,"AGOr206","urban",1834920,3261118,226261,483757
"AGO",2025,"AGOr209","rural",21341,36455,2183,5408
"AGO",2025,"AGOr209","urban",1326838,2266538,135718,336220
"AGO",2025,"AGOr208","rural",739341,1069263,74364,158615
"AGO",2025,"AGOr208","urban",0,0,0,0
"AGO",2030,"AGOr214","rural",145155,217742,10331,29461
"AGO",2030,"AGOr214","urban",6381,9572,454,1295
"AGO",2030,"AGOr213","rural",1875040,2791228,118121,377658
"AGO",2030,"AGOr213","urban",67121,99918,4228,13519
"AGO",2030,"AGOr216","rural",2057585,3018834,130091,408453
"AGO",2030,"AGOr216","urban",0,0,0,0
"AGO",2030,"AGOr215","rural",1415977,2183849,95410,295478
"AGO",2030,"AGOr215","urban",670452,1034032,45176,139906
"AGO",2030,"AGOr210","rural",0,0,0,0
"AGO",2030,"AGOr210","urban",924457,1525447,78663,206396
"AGO",2030,"AGOr212","rural",572571,840651,46124,113741
"AGO",2030,"AGOr212","urban",9788,14371,788,1944
"AGO",2030,"AGOr211","rural",13094,23759,1334,3215
"AGO",2030,"AGOr211","urban",855456,1552193,87155,210014
"AGO",2030,"AGOr218","rural",27814,42753,1802,5785
"AGO",2030,"AGOr218","urban",47522,73047,3079,9883
"AGO",2030,"AGOr217","rural",265949,385043,23876,52097
"AGO",2030,"AGOr217","urban",3208,4645,288,628
"AGO",2030,"AGOr203","rural",15211,25998,1233,3518
"AGO",2030,"AGOr203","urban",901785,1541292,73105,208539
"AGO",2030,"AGOr202","rural",662699,995749,39162,134727
"AGO",2030,"AGOr202","urban",48028,72165,2838,9764
"AGO",2030,"AGOr205","rural",2564,4283,246,579
"AGO",2030,"AGOr205","urban",160686,268462,15416,36323
"AGO",2030,"AGOr204","rural",1190,1764,59,239
"AGO",2030,"AGOr204","urban",12874608,19091245,640711,2583077
"AGO",2030,"AGOr201","rural",13782,23177,936,3136
"AGO",2030,"AGOr201","urban",1098379,1847107,74592,249917
"AGO",2030,"AGOr207","rural",1017645,1491269,77738,201771
"AGO",2030,"AGOr207","urban",30032,44009,2294,5954
"AGO",2030,"AGOr206","rural",420454,715020,41405,96743
"AGO",2030,"AGOr206","urban",3553596,6043214,349949,817657
"AGO",2030,"AGOr209","rural",16657,26284,1311,3556
"AGO",2030,"AGOr209","urban",1304588,2058614,102703,278534
"AGO",2030,"AGOr208","rural",856119,1233028,73859,166831
"AGO",2030,"AGOr208","urban",0,0,0,0
"ALB",2020,"ALBr210","rural",25770,169236,0,9497
"ALB",2020,"ALBr210","urban",1776,11662,0,654
"ALB",2020,"ALBr212","rural",28315,158622,0,8901
"ALB",2020,"ALBr212","urban",3924,21980,0,1233
"ALB",2020,"ALBr211","rural",1150,4834,0,271
"ALB",2020,"ALBr211","urban",215822,906989,0,50895
"ALB",2020,"ALBr205","rural",1014,3272,0,184
"ALB",2020,"ALBr205","urban",87867,283408,0,15903
"ALB",2020,"ALBr204","rural",14281,67645,0,3796
"ALB",2020,"ALBr204","urban",42145,199632,0,11202
"ALB",2020,"ALBr207","rural",36237,228546,0,12825
"ALB",2020,"ALBr207","urban",1942,12251,0,687
"ALB",2020,"ALBr206","rural",7344,53645,0,3010
"ALB",2020,"ALBr206","urban",1058,7729,0,434
"ALB",2020,"ALBr201","rural",5822,23961,0,1345
"ALB",2020,"ALBr201","urban",23884,98294,0,5516
"ALB",2020,"ALBr203","rural",2760,14104,0,791
"ALB",2020,"ALBr203","urban",55229,282179,0,15834
"ALB",2020,"ALBr202","rural",20081,101004,0,5668
"ALB",2020,"ALBr202","urban",3665,18435,0,1034
"ALB",2020,"ALBr209","rural",12735,50523,0,2835
"ALB",2020,"ALBr209","urban",19087,75724,0,4249
"ALB",2020,"ALBr208","rural",8843,61696,0,3462
"ALB",2020,"ALBr208","urban",2202,15367,0,862
"ALB",2025,"ALBr210","rural",18534,128799,0,6903
"ALB",2025,"ALBr210","urban",1849,12852,0,689
"ALB",2025,"ALBr212","rural",17838,140267,0,7517
"ALB",2025,"ALBr212","urban",6699,52678,0,2823
"ALB",2025,"ALBr211","rural",720,3734,0,200
"ALB",2025,"ALBr211","urban",197258,1022474,0,54798
"ALB",2025,"ALBr205","rural",492,2982,0,160
"ALB",2025,"ALBr205","urban",45046,273141,0,14639
"ALB",2025,"ALBr204","rural",7394,58116,0,3115
"ALB",2025,"ALBr204","urban",23134,181829,0,9745
"ALB",2025,"ALBr207","rural",25901,213360,0,11435
"ALB",2025,"ALBr207","urban",4677,38529,0,2065
"ALB",2025,"ALBr206","rural",5592,45168,0,2421
"ALB",2025,"ALBr206","urban",879,7103,0,381
"ALB",2025,"ALBr201","rural",2802,20980,0,1124
"ALB",2025,"ALBr201","urban",11941,89418,0,4792
"ALB",2025,"ALBr203","rural",2058,10892,0,584
"ALB",2025,"ALBr203","urban",60911,322358,0,17276
"ALB",2025,"ALBr202","rural",12970,89262,0,4784
"ALB",2025,"ALBr202","urban",2560,17616,0,944
"ALB",2025,"ALBr209","rural",5938,47735,0,2558
"ALB",2025,"ALBr209","urban",10302,82820,0,4439
"ALB",2025,"ALBr208","rural",7641,59572,0,3193
"ALB",2025,"ALBr208","urban",2016,15718,0,842
"ALB",2030,"ALBr210","rural",13763,97207,0,4858
"ALB",2030,"ALBr210","urban",1832,12939,0,647
"ALB",2030,"ALBr212","rural",15273,117983,0,5897
"ALB",2030,"ALBr212","urban",11307,87342,0,4365
"ALB",2030,"ALBr211","rural",459,2291,0,114
"ALB",2030,"ALBr211","urban",228581,1140936,0,57022
"ALB",2030,"ALBr205","rural",437,2703,0,135
"ALB",2030,"ALBr205","urban",42406,262223,0,13105
"ALB",2030,"ALBr204","rural",6461,49614,0,2480
"ALB",2030,"ALBr204","urban",21453,164748,0,8234
"ALB",2030,"ALBr207","rural",24079,195667,0,9779
"ALB",2030,"ALBr207","urban",8223,66822,0,3340
"ALB",2030,"ALBr206","rural",4887,37864,0,1892
"ALB",2030,"ALBr206","urban",835,6468,0,323
"ALB",2030,"ALBr201","rural",2265,18286,0,914
"ALB",2030,"ALBr201","urban",10033,80992,0,4048
"ALB",2030,"ALBr203","rural",1376,6767,0,338
"ALB",2030,"ALBr203","urban",74445,366093,0,18297
"ALB",2030,"ALBr202","rural",11449,78536,0,3925
"ALB",2030,"ALBr202","urban",2435,16700,0,835
"ALB",2030,"ALBr209","rural",5233,44626,0,2230
"ALB",2030,"ALBr209","urban",10539,89884,0,4492
"ALB",2030,"ALBr208","rural",7354,57292,0,2863
"ALB",2030,"ALBr208","urban",2053,15994,0,799
"ARE",2020,"AREt","rural",84849,1238774,0,64089
"ARE",2020,"AREt","urban",600505,8767242,0,453583
"ARE",2025,"AREt","rural",81300,1231639,0,53670
"ARE",2025,"AREt","urban",651025,9862598,0,429775
"ARE",2030,"AREt","rural",77606,1215939,0,47297
"ARE",2030,"AREt","urban",694956,10888595,0,423542
"ARG",2020,"ARGr110","rural",50973,171207,0,12992
"ARG",2020,"ARGr110","urban",983137,3302153,0,250582
"ARG",2020,"ARGr111","rural",74241,242209,0,18380
"ARG",2020,"ARGr111","urban",723925,2361794,0,179224
"ARG",2020,"ARGr101","rural",0,0,0,0
"ARG",2020,"ARGr101","urban",827578,3505944,0,266047
"ARG",2020,"ARGr107","rural",226186,930152,0,70584
"ARG",2020,"ARGr107","urban",332199,1366113,0,103667
"ARG",2020,"ARGr106","rural",57098,186590,0,14159
"ARG",2020,"ARGr106","urban",474688,1551222,0,117714
"ARG",2020,"ARGr109","rural",139795,489870,0,37174
"ARG",2020,"ARGr109","urban",647481,2268906,0,172175
"ARG",2020,"ARGr108","rural",85481,281838,0,21387
"ARG",2020,"ARGr108","urban",552913,1822995,0,138337
"ARG",2020,"ARGr103","rural",79762,268886,0,20404
"ARG",2020,"ARGr103","urban",338546,1141276,0,86605
"ARG",2020,"ARGr102","rural",96812,316452,0,24014
"ARG",2020,"ARGr102","urban",5417111,17707007,0,1343689
"ARG",2020,"ARGr105","rural",92946,303026,0,22995
"ARG",2020,"ARGr105","urban",1047240,3414261,0,259090
"ARG",2020,"ARGr104","rural",30183,100327,0,7613
"ARG",2020,"ARGr104","urban",1059953,3523282,0,267363
"ARG",2025,"ARGr110","rural",31175,159908,0,11435
"ARG",2025,"ARGr110","urban",667262,3422588,0,244755
"ARG",2025,"ARGr111","rural",64053,221307,0,15826
"ARG",2025,"ARGr111","urban",713304,2464516,0,176242
"ARG",2025,"ARGr101","rural",0,0,0,0
"ARG",2025,"ARGr101","urban",485770,3616104,0,258594
"ARG",2025,"ARGr107","rural",136705,918539,0,65686
"ARG",2025,"ARGr107","urban",215783,1449876,0,103683
"ARG",2025,"ARGr106","rural",52767,172739,0,12353
"ARG",2025,"ARGr106","urban",494766,1619676,0,115826
"ARG",2025,"ARGr109","rural",63548,416543,0,29788
"ARG",2025,"ARGr109","urban",370558,2428916,0,173696
"ARG",2025,"ARGr108","rural",75293,254520,0,18201
"ARG",2025,"ARGr108","urban",566929,1916448,0,137048
"ARG",2025,"ARGr103","rural",65139,264202,0,18894
"ARG",2025,"ARGr103","urban",293461,1190269,0,85118
"ARG",2025,"ARGr102","rural",83030,283500,0,20274
"ARG",2025,"ARGr102","urban",5361445,18306269,0,1309113
"ARG",2025,"ARGr105","rural",66933,242115,0,17314
"ARG",2025,"ARGr105","urban",993007,3591971,0,256868
"ARG",2025,"ARGr104","rural",18465,93726,0,6703
"ARG",2025,"ARGr104","urban",717849,3643740,0,260570
"ARG",2030,"ARGr110","rural",14387,147928,0,10029
"ARG",2030,"ARGr110","urban",343453,3531506,0,239423
"ARG",2030,"ARGr111","rural",23520,199523,0,13527
"ARG",2030,"ARGr111","urban",301658,2558975,0,173489
"ARG",2030,"ARGr101","rural",0,0,0,0
"ARG",2030,"ARGr101","urban",331974,3713951,0,251793
"ARG",2030,"ARGr107","rural",88588,902919,0,61215
"ARG",2030,"ARGr107","urban",150072,1529583,0,103700
"ARG",2030,"ARGr106","rural",27209,158399,0,10739
"ARG",2030,"ARGr106","urban",289014,1682517,0,114069
"ARG",2030,"ARGr109","rural",30434,341273,0,23137
"ARG",2030,"ARGr109","urban",230181,2581181,0,174995
"ARG",2030,"ARGr108","rural",36244,225680,0,15300
"ARG",2030,"ARGr108","urban",321842,2004032,0,135866
"ARG",2030,"ARGr103","rural",27727,258543,0,17528
"ARG",2030,"ARGr103","urban",132476,1235285,0,83748
"ARG",2030,"ARGr102","rural",28926,249867,0,16940
"ARG",2030,"ARGr102","urban",2181370,18842920,0,1277483
"ARG",2030,"ARGr105","rural",19942,179418,0,12164
"ARG",2030,"ARGr105","urban",417734,3758414,0,254807
"ARG",2030,"ARGr104","rural",8098,86803,0,5885
"ARG",2030,"ARGr104","urban",349997,3751795,0,254358
"ARM",2020,"ARMr111","rural",0,0,0,0
"ARM",2020,"ARMr111","urban",160987,879451,0,52559
"ARM",2020,"ARMr110","rural",29689,137407,0,8212
"ARM",2020,"ARMr110","urban",1551,7177,0,429
"ARM",2020,"ARMr101","rural",35935,146655,0,8765
"ARM",2020,"ARMr101","urban",3503,14294,0,854
"ARM",2020,"ARMr103","rural",591,3035,0,181
"ARM",2020,"ARMr103","urban",51976,267134,0,15965
"ARM",2020,"ARMr102","rural",10786,47110,0,2815
"ARM",2020,"ARMr102","urban",54430,237727,0,14207
"ARM",2020,"ARMr109","rural",8356,58924,0,3521
"ARM",2020,"ARMr109","urban",107,752,0,45
"ARM",2020,"ARMr108","rural",27866,129387,0,7733
"ARM",2020,"ARMr108","urban",2243,10415,0,622
"ARM",2020,"ARMr105","rural",47762,177213,0,10591
"ARM",2020,"ARMr105","urban",4935,18309,0,1094
"ARM",2020,"ARMr104","rural",49038,227077,0,13571
"ARM",2020,"ARMr104","urban",3136,14523,0,868
"ARM",2020,"ARMr107","rural",42092,209994,0,12550
"ARM",2020,"ARMr107","urban",7518,37508,0,2242
"ARM",2020,"ARMr106","rural",12554,88829,0,5309
"ARM",2020,"ARMr106","urban",34266,242461,0,14490
"ARM",2025,"ARMr111","rural",0,0,0,0
"ARM",2025,"ARMr111","urban",125132,803139,0,43503
"ARM",2025,"ARMr110","rural",13415,137096,0,7426
"ARM",2025,"ARMr110","urban",733,7486,0,405
"ARM",2025,"ARMr101","rural",16743,161379,0,8741
"ARM",2025,"ARMr101","urban",1880,18124,0,982
"ARM",2025,"ARMr103","rural",430,3057,0,166
"ARM",2025,"ARMr103","urban",37516,266420,0,14431
"ARM",2025,"ARMr102","rural",3873,38550,0,2088
"ARM",2025,"ARMr102","urban",26531,264080,0,14304
"ARM",2025,"ARMr109","rural",4703,54769,0,2967
"ARM",2025,"ARMr109","urban",63,738,0,40
"ARM",2025,"ARMr108","rural",13351,135002,0,7312
"ARM",2025,"ARMr108","urban",1142,11546,0,625
"ARM",2025,"ARMr105","rural",38939,153658,0,8323
"ARM",2025,"ARMr105","urban",4277,16876,0,914
"ARM",2025,"ARMr104","rural",48012,239088,0,12950
"ARM",2025,"ARMr104","urban",3239,16129,0,874
"ARM",2025,"ARMr107","rural",18711,199375,0,10799
"ARM",2025,"ARMr107","urban",3535,37669,0,2040
"ARM",2025,"ARMr106","rural",7030,73388,0,3975
"ARM",2025,"ARMr106","urban",27455,286598,0,15524
"ARM",2030,"ARMr111","rural",0,0,0,0
"ARM",2030,"ARMr111","urban",121237,730684,0,37810
"ARM",2030,"ARMr110","rural",15290,136523,0,7065
"ARM",2030,"ARMr110","urban",874,7807,0,404
"ARM",2030,"ARMr101","rural",18354,176786,0,9148
"ARM",2030,"ARMr101","urban",2372,22851,0,1182
"ARM",2030,"ARMr103","rural",465,3073,0,159
"ARM",2030,"ARMr103","urban",40165,265244,0,13725
"ARM",2030,"ARMr102","rural",3204,28335,0,1466
"ARM",2030,"ARMr102","urban",33066,292413,0,15131
"ARM",2030,"ARMr109","rural",5090,50813,0,2629
"ARM",2030,"ARMr109","urban",73,725,0,38
"ARM",2030,"ARMr108","rural",14638,140512,0,7271
"ARM",2030,"ARMr108","urban",1334,12808,0,663
"ARM",2030,"ARMr105","rural",28590,132798,0,6872
"ARM",2030,"ARMr105","urban",3349,15554,0,805
"ARM",2030,"ARMr104","rural",49858,251089,0,12993
"ARM",2030,"ARMr104","urban",3556,17909,0,927
"ARM",2030,"ARMr107","rural",19731,188799,0,9770
"ARM",2030,"ARMr107","urban",3953,37827,0,1957
"ARM",2030,"ARMr106","rural",5536,52526,0,2718
"ARM",2030,"ARMr106","urban",35559,337404,0,17459
"AUS",2020,"AUSr106","rural",7662,87532,0,5554
"AUS",2020,"AUSr106","urban",39729,453892,0,28801
"AUS",2020,"AUSr105","rural",32885,351353,0,22295
"AUS",2020,"AUSr105","urban",222165,2373702,0,150619
"AUS",2020,"AUSr108","rural",91,1006,0,64
"AUS",2020,"AUSr108","urban",38984,429274,0,27239
"AUS",2020,"AUSr107","rural",4890,50128,0,3181
"AUS",2020,"AUSr107","urban",20457,209700,0,13306
"AUS",2020,"AUSr102","rural",36332,410114,0,26023
"AUS",2020,"AUSr102","urban",549346,6201048,0,393477
"AUS",2020,"AUSr101","rural",76152,834693,0,52964
"AUS",2020,"AUSr101","urban",672453,7370671,0,467693
"AUS",2020,"AUSr104","rural",13883,158347,0,10048
"AUS",2020,"AUSr104","urban",144369,1646631,0,104484
"AUS",2020,"AUSr103","rural",57177,630367,0,39999
"AUS",2020,"AUSr103","urban",410237,4522816,0,286988
"AUS",2025,"AUSr106","rural",9369,87424,0,5238
"AUS",2025,"AUSr106","urban",50309,469431,0,28125
"AUS",2025,"AUSr105","rural",40185,352199,0,21102
"AUS",2025,"AUSr105","urban",294214,2578621,0,154495
"AUS",2025,"AUSr108","rural",120,1066,0,64
"AUS",2025,"AUSr108","urban",52298,463381,0,27763
"AUS",2025,"AUSr107","rural",5771,50407,0,3020
"AUS",2025,"AUSr107","urban",25656,224095,0,13426
"AUS",2025,"AUSr102","rural",45585,417041,0,24986
"AUS",2025,"AUSr102","urban",740700,6776399,0,405999
"AUS",2025,"AUSr101","rural",86285,785500,0,47062
"AUS",2025,"AUSr101","urban",872469,7942554,0,475868
"AUS",2025,"AUSr104","rural",16295,150892,0,9040
"AUS",2025,"AUSr104","urban",187842,1739470,0,104218
"AUS",2025,"AUSr103","rural",71195,627568,0,37600
"AUS",2025,"AUSr103","urban",554385,4886765,0,292784
"AUS",2030,"AUSr106","rural",9545,86878,0,4811
"AUS",2030,"AUSr106","urban",52908,481551,0,26667
"AUS",2030,"AUSr105","rural",40231,351825,0,19483
"AUS",2030,"AUSr105","urban",317517,2776748,0,153767
"AUS",2030,"AUSr108","rural",128,1124,0,62
"AUS",2030,"AUSr108","urban",56661,496459,0,27492
"AUS",2030,"AUSr107","rural",5793,50490,0,2796
"AUS",2030,"AUSr107","urban",27230,237347,0,13143
"AUS",2030,"AUSr102","rural",46732,422842,0,23416
"AUS",2030,"AUSr102","urban",811768,7344990,0,406741
"AUS",2030,"AUSr101","rural",81341,733954,0,40644
"AUS",2030,"AUSr101","urban",939864,8480574,0,469626
"AUS",2030,"AUSr104","rural",15688,143236,0,7932
"AUS",2030,"AUSr104","urban",199524,1821694,0,100879
"AUS",2030,"AUSr103","rural",71363,622675,0,34482
"AUS",2030,"AUSr103","urban",599863,5234050,0,289845
"AUT",2020,"AUTr109","rural",2489,63398,0,2858
"AUT",2020,"AUTr109","urban",13029,331905,0,14963
"AUT",2020,"AUTr108","rural",16116,417181,0,18807
"AUT",2020,"AUTr108","urban",13194,341551,0,15397
"AUT",2020,"AUTr105","rural",22134,552961,0,24928
"AUT",2020,"AUTr105","urban",27853,695817,0,31368
"AUT",2020,"AUTr104","rural",12264,315247,0,14212
"AUT",2020,"AUTr104","urban",9663,248376,0,11197
"AUT",2020,"AUTr107","rural",7076,181025,0,8161
"AUT",2020,"AUTr107","urban",14680,375552,0,16930
"AUT",2020,"AUTr106","rural",12100,298582,0,13460
"AUT",2020,"AUTr106","urban",48041,1185452,0,53441
"AUT",2020,"AUTr101","rural",6142,145185,0,6545
"AUT",2020,"AUTr101","urban",6321,149409,0,6735
"AUT",2020,"AUTr103","rural",0,0,0,0
"AUT",2020,"AUTr103","urban",94020,1919085,0,86514
"AUT",2020,"AUTr102","rural",22572,549521,0,24773
"AUT",2020,"AUTr102","urban",46670,1136210,0,51221
"AUT",2025,"AUTr109","rural",2503,62821,0,2746
"AUT",2025,"AUTr109","urban",13557,340306,0,14873
"AUT",2025,"AUTr108","rural",16570,411192,0,17971
"AUT",2025,"AUTr108","urban",14611,362570,0,15846
"AUT",2025,"AUTr105","rural",21636,516721,0,22583
"AUT",2025,"AUTr105","urban",30699,733168,0,32043
"AUT",2025,"AUTr104","rural",12381,302829,0,13235
"AUT",2025,"AUTr104","urban",10413,254688,0,11131
"AUT",2025,"AUTr107","rural",7117,176725,0,7724
"AUT",2025,"AUTr107","urban",15543,385948,0,16868
"AUT",2025,"AUTr106","rural",12095,286575,0,12525
"AUT",2025,"AUTr106","urban",51170,1212396,0,52988
"AUT",2025,"AUTr101","rural",6328,142561,0,6231
"AUT",2025,"AUTr101","urban",6754,152159,0,6650
"AUT",2025,"AUTr103","rural",0,0,0,0
"AUT",2025,"AUTr103","urban",107799,2008733,0,87792
"AUT",2025,"AUTr102","rural",22289,515752,0,22541
"AUT",2025,"AUTr102","urban",51120,1182871,0,51698
"AUT",2030,"AUTr109","rural",2470,62065,0,2582
"AUT",2030,"AUTr109","urban",13849,348028,0,14479
"AUT",2030,"AUTr108","rural",16259,403679,0,16795
"AUT",2030,"AUTr108","urban",15444,383464,0,15954
"AUT",2030,"AUTr105","rural",19802,479997,0,19970
"AUT",2030,"AUTr105","urban",31679,767879,0,31947
"AUT",2030,"AUTr104","rural",11726,290040,0,12067
"AUT",2030,"AUTr104","urban",10514,260054,0,10819
"AUT",2030,"AUTr107","rural",6860,171998,0,7156
"AUT",2030,"AUTr107","urban",15771,395436,0,16452
"AUT",2030,"AUTr106","rural",11568,273991,0,11399
"AUT",2030,"AUTr106","urban",52197,1236327,0,51436
"AUT",2030,"AUTr101","rural",6273,139642,0,5810
"AUT",2030,"AUTr101","urban",6939,154476,0,6427
"AUT",2030,"AUTr103","rural",0,0,0,0
"AUT",2030,"AUTr103","urban",116969,2096845,0,87237
"AUT",2030,"AUTr102","rural",20737,481448,0,20030
"AUT",2030,"AUTr102","urban",52804,1225924,0,51003
"AZE",2020,"AZEr111","rural",60975,544315,0,38673
"AZE",2020,"AZEr111","urban",64845,578854,0,41127
"AZE",2020,"AZEr110","rural",62436,544315,0,38673
