"ISO3","YEAR","GDLCODE","GEO_AREA","fies","population","stunting","u5pop"
"AFG",2020,"AFGr107","rural",1406381,2532171,2370842,4299362
"AFG",2020,"AFGr107","urban",857845,1544540,1446135,2622468
"AFG",2020,"AFGr106","rural",2363979,4085415,3300869,5656561
"AFG",2020,"AFGr106","urban",528779,913832,738344,1265268
"AFG",2020,"AFGr108","rural",2803351,4686990,3023703,6120758
"AFG",2020,"AFGr108","urban",366896,613423,395736,801071
"AFG",2020,"AFGr103","rural",1321583,2322466,2641273,5396255
"AFG",2020,"AFGr103","urban",373624,656584,746714,1525574
"AFG",2020,"AFGr102","rural",535115,884679,3280185,6915982
"AFG",2020,"AFGr102","urban",452,748,2773,5847
"AFG",2020,"AFGr105","rural",2949880,4912552,2653913,6229560
"AFG",2020,"AFGr105","urban",327810,545915,294920,692270
"AFG",2020,"AFGr104","rural",4194774,6948380,2608634,6260945
"AFG",2020,"AFGr104","urban",442786,733448,275359,660885
"AFG",2020,"AFGr101","rural",1457742,2570777,1121164,2310626
"AFG",2020,"AFGr101","urban",2909145,5130374,2237452,4611203
"AFG",2025,"AFGr107","rural",1175583,2632093,2490928,4642257
"AFG",2025,"AFGr107","urban",739472,1655653,1566857,2920097
"AFG",2025,"AFGr106","rural",2045162,4518826,3652347,6174545
"AFG",2025,"AFGr106","urban",459677,1015665,820913,1387809
"AFG",2025,"AFGr108","rural",2419453,5363308,3230844,6681745
"AFG",2025,"AFGr108","urban",318868,706848,425804,880609
"AFG",2025,"AFGr103","rural",906735,2045682,2464130,5321096
"AFG",2025,"AFGr103","urban",381919,861646,1037897,2241258
"AFG",2025,"AFGr102","rural",394679,857211,3405498,7556096
"AFG",2025,"AFGr102","urban",327,710,2821,6258
"AFG",2025,"AFGr105","rural",2027160,4568082,2389694,5925543
"AFG",2025,"AFGr105","urban",559962,1261840,660104,1636811
"AFG",2025,"AFGr104","rural",4016308,8820133,2636681,6784627
"AFG",2025,"AFGr104","urban",460393,1011059,302245,777727
"AFG",2025,"AFGr101","rural",1308345,2934509,1061037,2359718
"AFG",2025,"AFGr101","urban",2884600,6469918,2339343,5202636
"AFG",2030,"AFGr107","rural",1116671,2725696,2573265,4932953
"AFG",2030,"AFGr107","urban",719317,1755788,1657598,3177618
"AFG",2030,"AFGr106","rural",2012702,4970465,3966857,6617619
"AFG",2030,"AFGr106","urban",454071,1121350,894933,1492952
"AFG",2030,"AFGr108","rural",2598224,6103335,3387977,7161647
"AFG",2030,"AFGr108","urban",344267,808697,448910,948924
"AFG",2030,"AFGr103","rural",734648,1808807,2275533,5208189
"AFG",2030,"AFGr103","urban",409400,1007999,1268093,2902382
"AFG",2030,"AFGr102","rural",349943,825477,3462991,8103973
"AFG",2030,"AFGr102","urban",285,672,2819,6597
"AFG",2030,"AFGr105","rural",1723189,4279641,2136893,5609197
"AFG",2030,"AFGr105","urban",768441,1908469,952929,2501373
"AFG",2030,"AFGr104","rural",4568432,11105369,2612321,7229994
"AFG",2030,"AFGr104","urban",556412,1352578,318168,880577
"AFG",2030,"AFGr101","rural",1353415,3359493,990758,2389799
"AFG",2030,"AFGr101","urban",3239847,8042056,2371707,5720772
"AGO",2020,"AGOr214","rural",234271,350201,1626369,3922844
"AGO",2020,"AGOr214","urban",7294,10903,50635,122132
"AGO",2020,"AGOr213","rural",476764,706695,1673858,3913750
"AGO",2020,"AGOr213","urban",15986,23695,56123,131225
"AGO",2020,"AGOr216","rural",953575,1400876,1697157,4044976
"AGO",2020,"AGOr216","urban",0,0,0,0
"AGO",2020,"AGOr215","rural",1810179,2738879,1790471,3907271
"AGO",2020,"AGOr215","urban",63797,96527,63102,137705
"AGO",2020,"AGOr210","rural",811,1673,1635,3281
"AGO",2020,"AGOr210","urban",998845,2060928,2013773,4041695
"AGO",2020,"AGOr212","rural",491962,727881,1888560,3977452
"AGO",2020,"AGOr212","urban",8352,12357,32061,67524
"AGO",2020,"AGOr211","rural",14263,29441,39522,78479
"AGO",2020,"AGOr211","urban",720869,1488018,1997553,3966497
"AGO",2020,"AGOr218","rural",71345,117561,559297,1550396
"AGO",2020,"AGOr218","urban",114794,189155,899905,2494579
"AGO",2020,"AGOr217","rural",346460,502543,2000033,4002674
"AGO",2020,"AGOr217","urban",3661,5311,21137,42301
"AGO",2020,"AGOr203","rural",21394,42000,45970,100076
"AGO",2020,"AGOr203","urban",843332,1655603,1812116,3944900
"AGO",2020,"AGOr202","rural",434794,650688,1387171,3833418
"AGO",2020,"AGOr202","urban",23995,35910,76555,211558
"AGO",2020,"AGOr205","rural",4283,8488,43460,85197
"AGO",2020,"AGOr205","urban",199076,394505,2019934,3959779
"AGO",2020,"AGOr204","rural",806,1305,138,456
"AGO",2020,"AGOr204","urban",7159055,11586546,1221932,4044520
"AGO",2020,"AGOr201","rural",6597,11919,21830,59162
"AGO",2020,"AGOr201","urban",444469,803002,1470755,3985814
"AGO",2020,"AGOr207","rural",864364,1270940,1804055,3957492
"AGO",2020,"AGOr207","urban",19107,28095,39880,87483
"AGO",2020,"AGOr206","rural",731478,1282093,940127,1851164
"AGO",2020,"AGOr206","urban",866874,1519407,1114143,2193812
"AGO",2020,"AGOr209","rural",24927,49733,35371,80464
"AGO",2020,"AGOr209","urban",1228195,2450380,1742762,3964512
"AGO",2020,"AGOr208","rural",631895,913870,2002770,4044976
"AGO",2020,"AGOr208","urban",0,0,0,0
"AGO",2025,"AGOr214","rural",186053,278114,1559429,4081062
"AGO",2025,"AGOr214","urban",7100,10613,59509,155736
"AGO",2025,"AGOr213","rural",953496,1424411,1508212,4094353
"AGO",2025,"AGOr213","urban",33173,49556,52471,142445
"AGO",2025,"AGOr216","rural",1411056,2075860,1557362,4236798
"AGO",2025,"AGOr216","urban",0,0,0,0
"AGO",2025,"AGOr215","rural",1576446,2452144,1326143,3414188
"AGO",2025,"AGOr215","urban",379827,590816,319519,822610
"AGO",2025,"AGOr210","rural",321,641,666,1517
"AGO",2025,"AGOr210","urban",896623,1789341,1858594,4235281
"AGO",2025,"AGOr212","rural",533038,787941,1832422,4165805
"AGO",2025,"AGOr212","urban",9084,13428,31228,70993
"AGO",2025,"AGOr211","rural",13153,26461,33027,71957
"AGO",2025,"AGOr211","urban",761290,1531546,1911567,4164840
"AGO",2025,"AGOr218","rural",45619,71342,534025,1590708
"AGO",2025,"AGOr218","urban",75886,118675,888332,2646089
"AGO",2025,"AGOr217","rural",306804,443218,2006350,4189021
"AGO",2025,"AGOr217","urban",3499,5055,22883,47777
"AGO",2025,"AGOr203","rural",18215,33180,34527,85512
"AGO",2025,"AGOr203","urban",884251,1610771,1676181,4151286
"AGO",2025,"AGOr202","rural",540533,810158,1294250,3979082
"AGO",2025,"AGOr202","urban",35009,52472,83826,257716
"AGO",2025,"AGOr205","rural",3249,6037,35753,76558
"AGO",2025,"AGOr205","urban",176562,328058,1942880,4160240
"AGO",2025,"AGOr204","rural",972,1528,118,429
"AGO",2025,"AGOr204","urban",9592419,15072958,1161835,4236368
"AGO",2025,"AGOr201","rural",9436,16664,18865,56686
"AGO",2025,"AGOr201","urban",695832,1228831,1391129,4180112
"AGO",2025,"AGOr207","rural",946084,1386186,1734653,4128550
"AGO",2025,"AGOr207","urban",24806,36345,45482,108248
"AGO",2025,"AGOr206","rural",660116,1153328,517723,1106915
"AGO",2025,"AGOr206","urban",1866526,3261118,1463898,3129883
"AGO",2025,"AGOr209","rural",20692,36455,27072,67066
"AGO",2025,"AGOr209","urban",1286490,2266538,1683141,4169732
"AGO",2025,"AGOr208","rural",737679,1069263,1986359,4236798
"AGO",2025,"AGOr208","urban",0,0,0,0
"AGO",2030,"AGOr214","rural",145219,217742,1447714,4128563
"AGO",2030,"AGOr214","urban",6384,9572,63642,181493
"AGO",2030,"AGOr213","rural",1871705,2791228,1301480,4161101
"AGO",2030,"AGOr213","urban",67002,99918,46589,148956
"AGO",2030,"AGOr216","rural",2060007,3018834,1372734,4310056
"AGO",2030,"AGOr216","urban",0,0,0,0
"AGO",2030,"AGOr215","rural",1422853,2183849,944500,2925065
"AGO",2030,"AGOr215","urban",673707,1034032,447212,1384991
"AGO",2030,"AGOr210","rural",0,0,0,0
"AGO",2030,"AGOr210","urban",866376,1525447,1642673,4310056
"AGO",2030,"AGOr212","rural",569466,840651,1718412,4237614
"AGO",2030,"AGOr212","urban",9735,14371,29376,72442
"AGO",2030,"AGOr211","rural",12681,23759,26966,64978
"AGO",2030,"AGOr211","urban",828461,1552193,1761693,4245078
"AGO",2030,"AGOr218","rural",28106,42753,495798,1591259
"AGO",2030,"AGOr218","urban",48021,73047,847112,2718797
"AGO",2030,"AGOr217","rural",266900,385043,1951782,4258681
"AGO",2030,"AGOr217","urban",3220,4645,23545,51375
"AGO",2030,"AGOr203","rural",15022,25998,25063,71495
"AGO",2030,"AGOr203","urban",890565,1541292,1485853,4238561
"AGO",2030,"AGOr202","rural",667413,995749,1168185,4018801
"AGO",2030,"AGOr202","urban",48369,72165,84662,291255
"AGO",2030,"AGOr205","rural",2487,4283,28724,67682
"AGO",2030,"AGOr205","urban",155877,268462,1800451,4242374
"AGO",2030,"AGOr204","rural",1138,1764,99,398
